collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,24,GLO_G1,1.27353E+18,-25399008.47,-692512.225,-2280429.834,-325.826,156.04,3559.757,-468.084,0.001,23794983.73,11.992,1134.758,10.866,16.647
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E1,1.27353E+18,-5199894.405,-17419269.96,23361281.15,2239.305,700.815,1022.014,120171.076,0,23522506.86,1.799,-222.675,3.946,2.717
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,5,GPS_L1,1.27353E+18,-2179862.557,-26154875.77,-3437694.371,325.541,-419.725,3129.012,-3793.067,-0.001,23052313.87,4.197,0,7.554,5.704
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E1,1.27353E+18,16354690.93,-10478325.34,22344596.24,2172.409,561.971,-1326.001,259937.286,0,26997145.52,8.094,-222.675,7.968,9.151
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E1,1.27353E+18,-14840415.65,-21109595.66,14496317.62,-426.094,-1395.675,-2467.793,-179555.991,-0.001,23491226.21,2.698,-222.675,3.834,2.544
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,24,GPS_L5,1.27353E+18,-21925882.44,-14993325.5,-3438241.787,513.288,-81.804,-3058.1,-3909.923,0.001,23184656.65,1.199,-2352.94,13.109,5.307
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,22,GLO_G1,1.27353E+18,-3209207.064,-10499273.51,23014594.1,3150.565,209.727,546.442,-377.065,-0.001,20146878.26,5.696,1134.758,4.294,3.138
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,27,GAL_E1,1.27353E+18,-4073578.415,-29056851.29,-3925514.886,-28.481,411.162,-3013.649,65954.431,-0.002,25924420.35,3.897,-222.675,7.111,5.174
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,26,GAL_E5A,1.27353E+18,-23864644.67,-14194270.26,10254274.8,953.292,405.376,2780.566,956094.95,-0.013,23271555.69,1.199,-2350.5,8.247,3.106
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,19,GPS_L1,1.27353E+18,15895596.16,-16100019.24,13597010.99,1714.115,-490.757,-2531.046,-47596.19,0.001,24127204.44,5.096,0,8.526,9.864
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,11,GLO_G1,1.27353E+18,-7452969.814,-22878761.7,-8382937.433,427.47,1075.303,-3314.453,-7070.759,0,22761369.78,4.197,1134.758,8.843,7.97
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,25,GPS_L1,1.27353E+18,-14683904.91,-4370209.813,21479383.75,146.121,-2776.655,-433.979,1223.26,0,21314881.97,1.799,0,4.777,3.365
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,13,GLO_G1,1.27353E+18,-13641007.44,-4196429.98,21121766.54,-1428.055,-2521.509,-1422.224,-11599.23,0,20457375.41,6.296,1134.758,4.653,3.393
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,29,GPS_L1,1.27353E+18,-23791110.26,2021798.48,11613210.54,1283.706,-750.312,2747.758,-31296.709,-0.003,23380389.05,3.598,0,7.602,6.2
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,2,GPS_L1,1.27353E+18,-5503339.32,-18254196.93,19155120.88,2080.201,985.245,1584.768,-136679.896,0,21036594.82,2.099,0,3.863,2.628
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,6,GPS_L1,1.27353E+18,6164666.612,-13585086.92,22024516.38,2357.977,1469.52,251.424,-81411.407,-0.002,22327804.53,2.398,0,5.5,4.095
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E5A,1.27353E+18,-5199894.389,-17419269.95,23361281.15,2239.305,700.815,1022.014,120171.431,0,23520380.13,0.6,-2350.5,7.077,2.717
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,12,GPS_L1,1.27353E+18,-10898159.68,-15287773.64,18615899.42,383.846,-2374.99,-1688.627,35345.039,-0.002,20114026.1,7.195,0,3.783,2.54
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,1,GAL_E5A,1.27353E+18,-16870913.21,-1134635.67,24292166.46,-566.216,-2372.523,-503.955,-256789.645,-0.002,25327396.26,2.698,-2350.5,9.574,3.845
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,23,GLO_G1,1.27353E+18,-22043941.86,-6239449.302,11198986,1523.946,297.587,3162.913,91587.538,0.001,20696857.42,7.195,1134.758,5.2,3.723
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,26,GAL_E1,1.27353E+18,-23864644.67,-14194270.26,10254274.79,953.292,405.376,2780.566,956095.888,-0.013,23273672.52,3.897,-222.675,4.599,3.106
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,24,GPS_L1,1.27353E+18,-21925882.44,-14993325.5,-3438241.763,513.288,-81.804,-3058.1,-3909.259,0.001,23187014.52,5.696,0,7.31,5.307
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,12,GLO_G1,1.27353E+18,-14566815.8,-19201897.27,8407793.462,-672.859,-942.331,-3325.266,39203.242,0.001,19554068.95,2.998,1134.758,3.977,2.749
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,1,GAL_E1,1.27353E+18,-16870913.21,-1134635.653,24292166.46,-566.216,-2372.523,-503.955,-256790.033,-0.002,25329521.79,2.698,-222.675,5.339,3.845
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,27,GAL_E5A,1.27353E+18,-4073578.415,-29056851.29,-3925514.908,-28.481,411.162,-3013.649,65954.326,-0.002,25922291.52,1.799,-2350.5,12.751,5.174
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E5A,1.27353E+18,16354690.94,-10478325.34,22344596.23,2172.409,561.971,-1326.001,259936.15,0,26995030.78,2.998,-2350.5,14.288,9.151
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,6,GPS_L5,1.27353E+18,6164666.631,-13585086.91,22024516.38,2357.977,1469.52,251.424,-81412.404,-0.002,22325463.76,2.998,-2352.94,9.864,4.095
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E5A,1.27353E+18,-14840415.66,-21109595.67,14496317.6,-426.094,-1395.675,-2467.793,-179556.148,-0.001,23489102.19,1.799,-2350.5,6.875,2.544
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,24,GLO_G1,1.27353E+18,-25399334.05,-692356.155,-2276870.043,-325.328,156.1,3559.812,-468.083,0.001,23794412.02,10.493,1139.473,10.865,16.52
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E1,1.27353E+18,-5197655.024,-17418569.22,23362302.98,2239.459,700.663,1021.655,120171.076,0,23522720.31,1.799,-222.84,3.946,2.723
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,5,GPS_L1,1.27353E+18,-2179537.029,-26155295.31,-3434565.316,325.515,-419.35,3129.086,-3793.068,-0.001,23051728.97,4.797,0,7.553,5.709
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E1,1.27353E+18,16356863.29,-10477763.48,22343270.07,2172.327,561.76,-1326.344,259937.286,0,26997642.27,6.296,-222.84,7.968,9.144
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E1,1.27353E+18,-14840841.78,-21110991.2,14493849.72,-426.149,-1395.401,-2468.015,-179555.991,-0.001,23491329.34,2.398,-222.84,3.834,2.549
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,24,GPS_L5,1.27353E+18,-21925368.99,-14993407.23,-3441299.846,513.614,-81.648,-3058.028,-3909.923,0.001,23185229.55,0.899,-2353.749,13.111,5.315
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,22,GLO_G1,1.27353E+18,-3206056.458,-10499063.91,23015140.27,3150.656,209.464,545.889,-377.066,-0.001,20147295.57,5.696,1139.473,4.294,3.145
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,27,GAL_E1,1.27353E+18,-4073606.845,-29056439.98,-3928528.499,-28.38,411.459,-3013.588,65954.428,-0.002,25924931.8,3.598,-222.84,7.112,5.182
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,26,GAL_E5A,1.27353E+18,-23863691.22,-14193864.88,10257055.29,953.591,405.38,2780.409,956094.937,-0.013,23271289.17,1.199,-2351.372,8.247,3.113
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,19,GPS_L1,1.27353E+18,15897310.11,-16100509.99,13594479.81,1713.784,-490.744,-2531.341,-47596.189,0.001,24127745.26,7.195,0,8.527,9.851
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,11,GLO_G1,1.27353E+18,-7452542.197,-22877686.22,-8386251.776,427.767,1075.67,-3314.251,-7070.759,0,22762178.62,3.897,1139.473,8.845,7.971
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,25,GPS_L1,1.27353E+18,-14683758.87,-4372986.448,21478949.53,145.957,-2776.605,-434.445,1223.261,0,21314447.27,1.499,0,4.777,3.371
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,13,GLO_G1,1.27353E+18,-13642435.55,-4198951.349,21120344.06,-1428.167,-2521.222,-1422.732,-11599.23,0,20456935.01,4.797,1139.473,4.653,3.399
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,29,GPS_L1,1.27353E+18,-23789826.42,2021048.057,11615958.18,1283.977,-750.532,2747.51,-31296.711,-0.003,23379934.26,3.298,0,7.601,6.204
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,2,GPS_L1,1.27353E+18,-5501259.007,-18253211.7,19156705.46,2080.427,985.214,1584.382,-136679.896,0,21036819.07,1.799,0,3.863,2.633
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,6,GPS_L1,1.27353E+18,6167024.644,-13583617.46,22024767.57,2358.094,1469.391,250.957,-81411.409,-0.002,22328333.37,2.099,0,5.501,4.103
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E5A,1.27353E+18,-5197655.008,-17418569.21,23362302.99,2239.459,700.663,1021.655,120171.432,0,23520595.08,0.6,-2351.372,7.077,2.723
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,12,GPS_L1,1.27353E+18,-10897775.92,-15290148.54,18614210.59,383.676,-2374.797,-1689.029,35345.037,-0.002,20113950.25,5.696,0,3.783,2.545
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,21,GLO_G1,1.27353E+18,16172783.39,-7446145.082,18254066.12,2508.335,-18.448,-2231.232,-37332.649,-0.001,23980824.77,10.493,1139.473,8.553,19.245
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,23,GLO_G1,1.27353E+18,-22042417.69,-6239151.767,11202148.78,1524.402,297.482,3162.644,91587.539,0.001,20696515.05,8.094,1139.473,5.199,3.73
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,26,GAL_E1,1.27353E+18,-23863691.23,-14193864.89,10257055.27,953.591,405.38,2780.409,956095.875,-0.013,23273410.21,4.197,-222.84,4.599,3.113
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,24,GPS_L1,1.27353E+18,-21925368.99,-14993407.23,-3441299.821,513.614,-81.648,-3058.028,-3909.258,0.001,23187593.72,5.096,0,7.311,5.315
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,12,GLO_G1,1.27353E+18,-14567488.59,-19202839.37,8404468.099,-672.725,-941.875,-3325.468,39203.243,0.001,19554419.11,3.598,1139.473,3.977,2.755
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,1,GAL_E1,1.27353E+18,-16871479.51,-1137008.132,24291662.32,-566.393,-2372.429,-504.328,-256790.036,-0.002,25329132.06,2.398,-222.84,5.339,3.851
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,27,GAL_E5A,1.27353E+18,-4073606.846,-29056439.98,-3928528.52,-28.38,411.459,-3013.588,65954.324,-0.002,25922802.97,1.499,-2351.372,12.753,5.182
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E5A,1.27353E+18,16356863.31,-10477763.48,22343270.06,2172.327,561.76,-1326.344,259936.149,0,26995524.54,2.698,-2351.372,14.289,9.144
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,6,GPS_L5,1.27353E+18,6167024.663,-13583617.45,22024767.57,2358.094,1469.391,250.957,-81412.406,-0.002,22325990.79,2.398,-2353.749,9.865,4.103
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E5A,1.27353E+18,-14840841.78,-21110991.21,14493849.7,-426.149,-1395.401,-2468.015,-179556.149,-0.001,23489203.22,1.499,-2351.372,6.875,2.549
